gs_id	gene_id
GO:0006631	30
GO:0006631	31
GO:0006631	32
GO:0006631	33
GO:0006631	34
GO:0006631	35
GO:0006631	36
GO:0006631	37
GO:0006631	51
GO:0006631	131
GO:0006631	183
GO:0006631	207
GO:0006631	208
GO:0006631	215
GO:0006631	225
GO:0006631	239
GO:0006631	240
GO:0006631	241
GO:0006631	242
GO:0006631	246
GO:0006631	247
GO:0006631	301
GO:0006631	337
GO:0006631	341
GO:0006631	344
GO:0006631	345
GO:0006631	551
GO:0006631	552
GO:0006631	570
GO:0006631	672
GO:0006631	788
GO:0006631	857
GO:0006631	972
GO:0006631	1056
GO:0006631	1268
GO:0006631	1374
GO:0006631	1375
GO:0006631	1376
GO:0006631	1384
GO:0006631	1573
GO:0006631	1579
GO:0006631	1632
GO:0006631	1646
GO:0006631	1666
GO:0006631	1738
GO:0006631	1891
GO:0006631	1892
GO:0006631	1906
GO:0006631	1907
GO:0006631	1962
GO:0006631	2110
GO:0006631	2166
GO:0006631	2168
GO:0006631	2169
GO:0006631	2170
GO:0006631	2180
GO:0006631	2181
GO:0006631	2182
GO:0006631	2194
GO:0006631	2205
GO:0006631	2475
GO:0006631	2639
GO:0006631	2678
GO:0006631	2679
GO:0006631	2681
GO:0006631	2686
GO:0006631	2687
GO:0006631	2690
GO:0006631	2693
GO:0006631	3030
GO:0006631	3032
GO:0006631	3033
GO:0006631	3172
GO:0006631	3248
GO:0006631	3295
GO:0006631	3630
GO:0006631	3638
GO:0006631	3667
GO:0006631	3952
GO:0006631	3988
GO:0006631	3990
GO:0006631	3992
GO:0006631	3995
GO:0006631	4023
GO:0006631	4048
GO:0006631	4051
GO:0006631	4056
GO:0006631	4258
GO:0006631	4282
GO:0006631	4363
GO:0006631	4594
GO:0006631	4644
GO:0006631	4706
GO:0006631	5095
GO:0006631	5096
GO:0006631	5191
GO:0006631	5194
GO:0006631	5264
GO:0006631	5319
GO:0006631	5321
GO:0006631	5322
GO:0006631	5354
GO:0006631	5447
GO:0006631	5465
GO:0006631	5467
GO:0006631	5468
GO:0006631	5562
GO:0006631	5563
GO:0006631	5564
GO:0006631	5565
GO:0006631	5571
GO:0006631	5577
GO:0006631	5730
GO:0006631	5740
GO:0006631	5742
GO:0006631	5743
GO:0006631	5825
GO:0006631	5828
GO:0006631	6051
GO:0006631	6296
GO:0006631	6307
GO:0006631	6309
GO:0006631	6319
GO:0006631	6342
GO:0006631	6622
GO:0006631	6776
GO:0006631	6777
GO:0006631	6785
GO:0006631	6794
GO:0006631	6850
GO:0006631	6916
GO:0006631	6927
GO:0006631	7054
GO:0006631	7132
GO:0006631	7291
GO:0006631	7306
GO:0006631	7352
GO:0006631	7376
GO:0006631	7915
GO:0006631	7923
GO:0006631	8309
GO:0006631	8310
GO:0006631	8399
GO:0006631	8529
GO:0006631	8560
GO:0006631	8605
GO:0006631	8644
GO:0006631	8660
GO:0006631	9023
GO:0006631	9200
GO:0006631	9261
GO:0006631	9370
GO:0006631	9415
GO:0006631	9444
GO:0006631	9451
GO:0006631	9524
GO:0006631	9536
GO:0006631	9663
GO:0006631	10005
GO:0006631	10062
GO:0006631	10394
GO:0006631	10434
GO:0006631	10449
GO:0006631	10455
GO:0006631	10478
GO:0006631	10630
GO:0006631	10728
GO:0006631	10826
GO:0006631	10891
GO:0006631	10965
GO:0006631	10998
GO:0006631	10999
GO:0006631	11000
GO:0006631	11001
GO:0006631	11019
GO:0006631	11283
GO:0006631	11313
GO:0006631	11332
GO:0006631	11343
GO:0006631	22937
GO:0006631	22949
GO:0006631	23175
GO:0006631	23205
GO:0006631	23305
GO:0006631	23411
GO:0006631	23417
GO:0006631	23600
GO:0006631	23659
GO:0006631	26027
GO:0006631	26061
GO:0006631	26063
GO:0006631	27306
GO:0006631	27329
GO:0006631	27349
GO:0006631	28965
GO:0006631	50640
GO:0006631	51084
GO:0006631	51085
GO:0006631	51094
GO:0006631	51099
GO:0006631	51102
GO:0006631	51141
GO:0006631	51144
GO:0006631	51179
GO:0006631	51422
GO:0006631	51495
GO:0006631	51703
GO:0006631	51719
GO:0006631	53632
GO:0006631	54363
GO:0006631	54576
GO:0006631	54577
GO:0006631	54600
GO:0006631	54677
GO:0006631	54898
GO:0006631	54988
GO:0006631	54995
GO:0006631	55268
GO:0006631	55289
GO:0006631	55301
GO:0006631	55437
GO:0006631	55825
GO:0006631	56898
GO:0006631	57140
GO:0006631	57678
GO:0006631	57761
GO:0006631	58526
GO:0006631	59344
GO:0006631	60481
GO:0006631	64174
GO:0006631	64834
GO:0006631	64900
GO:0006631	65985
GO:0006631	66002
GO:0006631	79071
GO:0006631	79152
GO:0006631	79602
GO:0006631	79966
GO:0006631	79993
GO:0006631	80142
GO:0006631	80221
GO:0006631	81616
GO:0006631	81617
GO:0006631	83401
GO:0006631	83752
GO:0006631	84129
GO:0006631	84188
GO:0006631	84693
GO:0006631	84869
GO:0006631	84909
GO:0006631	91227
GO:0006631	92086
GO:0006631	92335
GO:0006631	114898
GO:0006631	116285
GO:0006631	116519
GO:0006631	122970
GO:0006631	123099
GO:0006631	123876
GO:0006631	124975
GO:0006631	126129
GO:0006631	127281
GO:0006631	132949
GO:0006631	134526
GO:0006631	137964
GO:0006631	142827
GO:0006631	145482
GO:0006631	158835
GO:0006631	197322
GO:0006631	200539
GO:0006631	201562
GO:0006631	219743
GO:0006631	255189
GO:0006631	283985
GO:0006631	285440
GO:0006631	341392
GO:0006631	348158
GO:0006631	376497
GO:0006631	392636
GO:0006631	401494
GO:0006631	641371
GO:0006631	653361
GO:0043623	118
GO:0043623	119
GO:0043623	154
GO:0043623	199
GO:0043623	229
GO:0043623	284
GO:0043623	324
GO:0043623	325
GO:0043623	382
GO:0043623	389
GO:0043623	395
GO:0043623	466
GO:0043623	617
GO:0043623	811
GO:0043623	822
GO:0043623	829
GO:0043623	830
GO:0043623	832
GO:0043623	857
GO:0043623	859
GO:0043623	916
GO:0043623	1027
GO:0043623	1058
GO:0043623	1060
GO:0043623	1062
GO:0043623	1063
GO:0043623	1136
GO:0043623	1175
GO:0043623	1236
GO:0043623	1352
GO:0043623	1353
GO:0043623	1355
GO:0043623	1401
GO:0043623	1409
GO:0043623	1460
GO:0043623	1535
GO:0043623	1729
GO:0043623	1730
GO:0043623	1950
GO:0043623	2039
GO:0043623	2060
GO:0043623	2185
GO:0043623	2241
GO:0043623	2242
GO:0043623	2243
GO:0043623	2244
GO:0043623	2258
GO:0043623	2266
GO:0043623	2280
GO:0043623	2288
GO:0043623	2331
GO:0043623	2475
GO:0043623	2885
GO:0043623	2934
GO:0043623	3055
GO:0043623	3071
GO:0043623	3084
GO:0043623	3092
GO:0043623	3308
GO:0043623	3320
GO:0043623	3329
GO:0043623	3717
GO:0043623	4086
GO:0043623	4087
GO:0043623	4088
GO:0043623	4089
GO:0043623	4091
GO:0043623	4131
GO:0043623	4137
GO:0043623	4214
GO:0043623	4292
GO:0043623	4629
GO:0043623	4690
GO:0043623	4724
GO:0043623	4725
GO:0043623	4728
GO:0043623	4928
GO:0043623	5018
GO:0043623	5063
GO:0043623	5194
GO:0043623	5286
GO:0043623	5494
GO:0043623	5580
GO:0043623	5581
GO:0043623	5618
GO:0043623	5711
GO:0043623	5715
GO:0043623	5716
GO:0043623	5747
GO:0043623	5756
GO:0043623	5829
GO:0043623	5830
GO:0043623	5879
GO:0043623	5899
GO:0043623	5921
GO:0043623	5962
GO:0043623	6047
GO:0043623	6249
GO:0043623	6341
GO:0043623	6352
GO:0043623	6356
GO:0043623	6366
GO:0043623	6622
GO:0043623	6708
GO:0043623	6709
GO:0043623	6710
GO:0043623	6711
GO:0043623	6712
GO:0043623	6714
GO:0043623	6729
GO:0043623	6795
GO:0043623	6812
GO:0043623	6834
GO:0043623	6901
GO:0043623	6902
GO:0043623	6904
GO:0043623	6950
GO:0043623	7013
GO:0043623	7019
GO:0043623	7040
GO:0043623	7186
GO:0043623	7273
GO:0043623	7277
GO:0043623	7280
GO:0043623	7283
GO:0043623	7429
GO:0043623	7454
GO:0043623	7846
GO:0043623	8195
GO:0043623	8301
GO:0043623	8312
GO:0043623	8440
GO:0043623	8522
GO:0043623	8557
GO:0043623	8618
GO:0043623	8624
GO:0043623	8775
GO:0043623	8867
GO:0043623	8932
GO:0043623	8936
GO:0043623	9087
GO:0043623	9113
GO:0043623	9131
